NN Odhiambo	373	97	87	16	2	50	8
NO Miller	220	76	76	17	2	11	10
Nowroz Mangal	14	2	0	1	0	0	2
NW Bracken	423	185	129	22	1	41	13
OL Pitcher	7	1	3	2	0	0	0
P Awana	71	9	13	3	0	7	4
P Connell	14	1	2	0	0	3	0
P Khadka	143	79	60	7	1	9	5
P Kumar	190	67	51	13	3	23	2
P Utseya	693	227	265	54	4	50	18
PA Desai	28	6	7	2	1	2	1
PA Hitchcock	42	6	6	0	0	3	4
PA van Meekeren	128	87	39	9	1	14	2
PC Connell	115	65	27	7	2	14	2
PD Collingwood	326	68	88	31	4	20	14
PDRL Perera	71	21	9	2	0	13	1
PJ Cummins	381	180	116	19	3	41	9
PJ Ongondo	106	72	19	9	1	12	3
PL Mommsen	74	39	26	3	0	6	3
PM Seelaar	430	138	178	31	0	28	13
PM Siddle	57	22	15	3	0	9	0
PP Chawla	151	51	63	9	0	10	5
PP Ojha	131	46	61	9	0	7	4
PR Stirling	321	128	123	20	0	17	15
PW Borren	442	112	208	33	2	30	7
R Ashwin	708	265	238	34	6	45	34
R McLaren	321	113	99	18	4	33	7
R Rampaul	643	224	155	41	6	61	24
R Sharma	55	20	15	3	0	4	3
R Telemachus	64	22	17	3	1	8	1
R Vinay Kumar	242	85	62	12	2	24	9
RA Jadeja	513	192	175	23	2	25	31
RAS Lakmal	118	38	36	4	0	11	5
Raza Hasan	212	116	82	11	2	15	7
Raza-ur-Rehman	58	21	24	3	0	4	2
RD Berrington	155	51	52	10	1	11	6
RDM Leverock	22	7	14	2	0	1	0
RE van der Merwe	399	149	151	26	2	16	21
RG Aga	178	98	76	8	0	17	3
RG Sharma	112	12	35	9	1	8	4
Rizwan Cheema	227	57	83	15	2	18	6
RJ Harris	93	30	25	4	0	9	4
RJ Kirtley	17	1	1	0	0	4	0
RJ Nicol	160	49	56	5	0	10	9
RJ Peterson	443	152	139	20	0	27	26
RJ Ranpura	31	37	9	0	0	4	1
RJ Sidebottom	422	175	123	27	5	41	11
RJ Trott	24	8	10	5	0	1	0
RJW Topley	35	7	9	3	0	5	0
RK Kleinveldt	164	58	35	7	1	22	4
RL Bhudia	76	17	14	4	0	6	5
RLB Rambukwella	19	9	13	1	0	1	0
RM Haq	301	104	124	18	3	18	10
RM Hira	327	92	119	14	0	21	16
RM West	137	39	52	14	3	9	2
RML Taylor	98	35	29	10	3	7	2
RMS Eranga	85	35	20	1	1	12	2
RN Lewis	9	2	1	2	0	1	0
RN ten Doeschate	164	52	48	19	2	15	2
Robiul Islam	13	1	3	0	0	1	1
Rohan Mustafa	61	21	21	4	0	5	2
RP Singh	210	118	52	7	0	30	4
RR Patel	32	14	18	2	0	1	1
RR Sarwan	10	7	1	3	1	0	0
RR Watson	56	16	16	5	0	3	3
RS Bopara	366	134	135	28	1	31	8
RT Lyons	26	8	12	1	0	3	0
Rubel Hossain	296	83	67	19	0	30	11
RW Price	295	134	108	12	3	25	9
S Badree	458	275	168	19	2	51	7
S Dhaniram	31	11	23	1	0	0	1
S Matsikenyeri	13	2	7	0	0	0	1
S Prasanna	60	14	12	4	0	4	4
S Randiv	137	46	58	11	1	9	3
S Sharif	55	13	13	4	0	4	3
S Sreesanth	261	125	39	8	4	32	11
S Tyagi	20	6	2	2	0	2	1
SA Abbott	44	15	14	5	0	5	0
Saad Bin Zafar	24	12	8	3	0	1	1
Saad Nasim	12	2	2	0	0	1	1
Sabbir Rahman	16	11	4	1	0	1	1
Saeed Ajmal	1475	647	554	94	5	112	45
Sagar Pun	124	56	57	12	1	7	2
Sajedul Islam	14	1	4	0	0	1	1
Samiullah Shenwari	372	186	158	26	0	21	13
Sandeep Sharma	68	20	15	1	1	6	4
SB Styris	345	115	146	15	1	25	11
SC Meaker	59	25	19	1	0	8	1
SC Williams	236	74	92	15	0	15	9
SCJ Broad	1452	552	348	111	8	147	45
SD Parry	72	10	28	1	0	6	3
SE Bond	527	242	130	27	5	64	12
SF Burger	13	6	11	1	0	0	0
SG Borthwick	15	12	9	3	0	0	0
Shafiul Islam	263	94	78	25	0	25	5
Shahadat Hossain	173	36	25	10	1	18	8
Shahid Afridi	1874	682	759	139	7	129	50
Shakib Al Hasan	769	308	322	49	5	46	25
Shapoor Zadran	419	199	102	13	3	57	9
Sharafuddin Ashraf	116	29	39	5	1	7	6
Sharif Asadullah	20	9	6	1	0	3	0
Shoaib Akhtar	402	162	72	16	1	53	13
Shoaib Malik	351	129	159	24	2	18	11
SI Mahmood	146	40	22	7	0	17	7
Sikandar Raza	99	22	40	8	0	6	2
SJ Benn	445	152	143	28	4	36	15
SJ Harmison	39	22	11	3	2	4	0
SK Raina	226	59	86	15	0	11	11
SKW Kelly	11	5	5	1	0	1	0
SL Malinga	1436	544	480	101	9	144	24
SM Harwood	110	29	24	3	1	15	2
SM Pollock	273	112	67	10	2	24	14
SM Sharif	236	67	58	18	0	19	11
SMSM Senanayake	290	156	128	22	2	25	2
SNJ O'Keefe	143	42	49	8	0	12	5
SO Ngoche	344	127	126	22	4	27	9
SO Tikolo	98	50	36	4	0	6	5
Sohag Gazi	289	82	81	11	0	30	11
Sohaib Maqsood	11	1	5	0	0	0	1
Sohail Khan	42	19	10	4	0	3	2
Sohail Tanvir	1021	451	310	81	5	99	23
Sompal Kami	225	100	61	15	2	26	4
Soumya Sarkar	11	1	3	0	0	2	0
SP Gauchan	166	95	58	11	0	8	9
SP Narine	647	336	269	46	4	43	17
SPD Smith	372	103	122	30	0	25	15
SR Clark	226	109	72	13	0	23	6
SR Patel	319	96	103	21	0	15	19
SR Tendulkar	12	8	4	2	0	1	0
SR Thompson	68	44	28	3	0	7	1
SR Watson	964	312	303	62	1	78	37
SS Cottrell	177	53	32	18	1	16	7
ST Finn	566	248	131	34	1	61	20
ST Gabriel	48	27	10	4	0	6	1
ST Jayasuriya	412	121	154	40	2	22	14
STR Binny	22	10	10	2	0	2	0
Suhrawadi Shuvo	12	2	2	0	0	1	1
SW Masakadza	204	36	45	14	3	17	9
SW Tait	446	267	111	29	4	50	10
Syed Rasel	194	90	46	15	0	22	5
T Henderson	31	12	5	2	0	4	1
T Kamungozi	17	2	7	1	0	2	0
T Mishra	8	3	2	0	0	0	1
T Mupariwa	42	15	10	3	0	2	3
T Muzarabani	92	17	17	5	1	14	1
T Panyangara	225	58	51	11	0	35	2
T Taibu	41	4	13	2	0	3	2
T Thushara	152	50	42	8	0	19	3
T van der Gugten	352	165	88	32	2	38	7
TA Boult	180	89	46	5	0	19	8
TAM Siriwardana	17	3	7	0	0	1	1
Tanvir Ahmed	10	17	2	0	0	2	0
Tanwir Afzal	171	88	46	9	1	17	6
Taskin Ahmed	52	23	18	1	0	5	2
TC Mutombodzi	79	20	31	3	0	3	5
TE Kane	80	27	24	1	0	9	3
TG Southee	1151	324	307	60	2	121	39
TGJ Gruijters	73	39	21	3	0	7	3
TJ Murtagh	162	67	46	6	0	17	6
TK Patel	21	8	6	2	1	2	0
TL Best	147	61	39	7	0	13	7
TL Chatara	173	98	38	8	3	17	7
TLW Cooper	119	25	55	5	0	6	5
TM Dilshan	271	72	103	15	2	15	12
TM Odoyo	118	88	49	8	1	8	3
TT Bresnan	856	301	221	56	5	76	34
U Bhatti	38	10	14	3	0	3	1
Umair Ali	28	7	12	3	0	1	1
Umar Gul	1291	528	395	94	8	123	32
Usman Khan	57	14	7	4	0	6	3
UT Yadav	22	12	3	0	1	4	0
UWMBCA Welegedara	58	13	15	2	1	6	2
V Kohli	179	41	63	15	0	17	3
V Sehwag	19	0	3	2	0	0	2
VD Philander	102	43	26	7	0	2	9
Wahab Riaz	168	76	50	6	0	22	3
